  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    963000                       163.606
    964800                       164.121
    966600                       164.637
    968400                       165.153
    970200                       165.669
    972000                       166.185
    973800                       166.700
    975600                       167.216
    977400                       167.732
    979200                       168.248
    981000                       168.764
    982800                       169.279
    984600                       169.795
    986400                       170.311
    988200                       170.827
    990000                       171.343
    991800                       171.858
    993600                       172.374
    995400                       172.890
    997200                       173.406
    999000                       173.922
   1000800                       174.437
   1002600                       174.953
   1004400                       175.469
   1006200                       175.985
   1008000                       176.501
   1009800                       177.016
   1011600                       177.532
   1013400                       178.048
   1015200                       178.564
   1017000                       179.080
   1018800                       179.595
   1020600                       180.111
   1022400                       180.627
   1024200                       181.143
   1026000                       181.659
   1027800                       182.174
   1029600                       182.690
   1031400                       183.206
   1033200                       183.722
   1035000                       184.238
   1036800                       184.753
   1038600                       184.852
   1040400                       184.951
   1042200                       185.049
   1044000                       185.148
   1045800                       185.247
   1047600                       185.345
   1049400                       185.444
   1051200                       185.543
   1053000                       185.641
   1054800                       185.740
   1056600                       185.839
   1058400                       185.937
   1060200                       186.036
   1062000                       186.135
   1063800                       186.233
   1065600                       186.332
   1067400                       186.431
   1069200                       186.529
   1071000                       186.628
   1072800                       186.726
   1074600                       186.825
   1076400                       186.924
   1078200                       187.022
   1080000                       187.121
   1081800                       187.220
   1083600                       187.318
   1085400                       187.417
   1087200                       187.516
   1089000                       187.614
   1090800                       187.713
   1092600                       187.812
   1094400                       187.910
   1096200                       188.009
   1098000                       188.108
   1099800                       188.206
   1101600                       188.305
   1103400                       188.404
   1105200                       188.502
   1107000                       188.601
   1108800                       188.700
   1110600                       188.798
   1112400                       188.897
   1114200                       188.995
   1116000                       189.094
   1117800                       189.193
   1119600                       189.291
   1121400                       189.390
   1123200                       189.489
   1125000                       189.547
   1126800                       189.604
   1128600                       189.662
   1130400                       189.720
   1132200                       189.778
   1134000                       189.835
   1135800                       189.893
   1137600                       189.951
   1139400                       190.009
   1141200                       190.066
   1143000                       190.124
   1144800                       190.182
   1146600                       190.240
   1148400                       190.298
   1150200                       190.355
   1152000                       190.413
   1153800                       190.471
   1155600                       190.529
   1157400                       190.586
   1159200                       190.644
   1161000                       190.702
   1162800                       190.760
   1164600                       190.818
   1166400                       190.875
   1168200                       190.933
   1170000                       190.991
   1171800                       191.049
   1173600                       191.106
   1175400                       191.164
   1177200                       191.222
   1179000                       191.280
   1180800                       191.338
   1182600                       191.395
   1184400                       191.453
   1186200                       191.511
   1188000                       191.569
   1189800                       191.626
   1191600                       191.684
   1193400                       191.742
   1195200                       191.800
   1197000                       191.858
   1198800                       191.915
   1200600                       191.973
   1202400                       192.031
   1204200                       192.089
   1206000                       192.146
   1207800                       192.204
   1209600                       192.262
   1211400                       192.313
   1213200                       192.364
   1215000                       192.416
   1216800                       192.467
   1218600                       192.518
   1220400                       192.569
   1222200                       192.620
   1224000                       192.672
   1225800                       192.723
   1227600                       192.774
   1229400                       192.825
   1231200                       192.876
   1233000                       192.928
   1234800                       192.979
   1236600                       193.030
   1238400                       193.081
   1240200                       193.132
   1242000                       193.184
   1243800                       193.235
   1245600                       193.286
   1247400                       193.337
   1249200                       193.388
   1251000                       193.440
   1252800                       193.491
   1254600                       193.542
   1256400                       193.593
   1258200                       193.644
   1260000                       193.696
   1261800                       193.747
   1263600                       193.798
   1265400                       193.849
   1267200                       193.900
   1269000                       193.952
   1270800                       194.003
   1272600                       194.054
   1274400                       194.105
   1276200                       194.156
   1278000                       194.208
   1279800                       194.259
   1281600                       194.310
   1283400                       194.361
   1285200                       194.412
   1287000                       194.464
   1288800                       194.515
   1290600                       194.566
   1292400                       194.617
   1294200                       194.669
   1296000                       194.720
