  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    878400                         0.197
    880200                         0.197
    882000                         0.197
    883800                         0.197
    885600                         0.197
    887400                         0.197
    889200                         0.197
    891000                         0.197
    892800                         0.197
    894600                         0.197
    896400                         0.197
    898200                         0.197
    900000                         0.197
    901800                         0.197
    903600                         0.197
    905400                         0.197
    907200                         0.197
    909000                         0.197
    910800                         0.197
    912600                         0.197
    914400                         0.197
    916200                         0.197
    918000                         0.197
    919800                         0.197
    921600                         0.197
    923400                         0.197
    925200                         0.197
    927000                         0.197
    928800                         0.197
    930600                         0.197
    932400                         0.197
    934200                         0.197
    936000                         0.197
    937800                         0.197
    939600                         0.197
    941400                         0.197
    943200                         0.197
    945000                         0.197
    946800                         0.197
    948600                         0.197
    950400                         0.197
    952200                         0.062
    954000                         0.062
    955800                         0.062
    957600                         0.062
    959400                         0.062
    961200                         0.062
    963000                         0.062
    964800                         0.062
    966600                         0.062
    968400                         0.062
    970200                         0.062
    972000                         0.062
    973800                         0.062
    975600                         0.062
    977400                         0.062
    979200                         0.062
    981000                         0.062
    982800                         0.062
    984600                         0.062
    986400                         0.062
    988200                         0.062
    990000                         0.062
    991800                         0.062
    993600                         0.062
    995400                         0.062
    997200                         0.062
    999000                         0.062
   1000800                         0.062
   1002600                         0.062
   1004400                         0.062
   1006200                         0.062
   1008000                         0.062
   1009800                         0.062
   1011600                         0.062
   1013400                         0.062
   1015200                         0.062
   1017000                         0.062
   1018800                         0.062
   1020600                         0.062
   1022400                         0.062
   1024200                         0.062
   1026000                         0.062
   1027800                         0.062
   1029600                         0.062
   1031400                         0.062
   1033200                         0.062
   1035000                         0.062
   1036800                         0.062
   1038600                         1.026
   1040400                         1.026
   1042200                         1.026
   1044000                         1.026
   1045800                         1.026
   1047600                         1.026
   1049400                         1.026
   1051200                         1.026
   1053000                         1.026
   1054800                         1.026
   1056600                         1.026
   1058400                         1.026
   1060200                         1.026
   1062000                         1.026
   1063800                         1.026
   1065600                         1.026
