  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
    901800                         0.577
    903600                         0.577
    905400                         0.577
    907200                         0.577
    909000                         0.577
    910800                         0.577
    912600                         0.577
    914400                         0.577
    916200                         0.577
    918000                         0.577
    919800                         0.577
    921600                         0.577
    923400                         0.577
    925200                         0.577
    927000                         0.577
    928800                         0.577
    930600                         0.577
    932400                         0.577
    934200                         0.577
    936000                         0.577
    937800                         0.577
    939600                         0.577
    941400                         0.577
    943200                         0.577
    945000                         0.577
    946800                         0.577
    948600                         0.577
    950400                         0.577
    952200                         1.032
    954000                         1.032
    955800                         1.032
    957600                         1.032
    959400                         1.032
    961200                         1.032
    963000                         1.032
    964800                         1.032
    966600                         1.032
    968400                         1.032
    970200                         1.032
    972000                         1.032
    973800                         1.032
    975600                         1.032
    977400                         1.032
    979200                         1.032
    981000                         1.032
    982800                         1.032
    984600                         1.032
    986400                         1.032
    988200                         1.032
    990000                         1.032
    991800                         1.032
    993600                         1.032
    995400                         1.032
    997200                         1.032
    999000                         1.032
   1000800                         1.032
   1002600                         1.032
   1004400                         1.032
   1006200                         1.032
   1008000                         1.032
   1009800                         1.032
   1011600                         1.032
   1013400                         1.032
   1015200                         1.032
   1017000                         1.032
   1018800                         1.032
   1020600                         1.032
   1022400                         1.032
   1024200                         1.032
   1026000                         1.032
   1027800                         1.032
   1029600                         1.032
   1031400                         1.032
   1033200                         1.032
   1035000                         1.032
   1036800                         1.032
   1038600                         0.197
   1040400                         0.197
   1042200                         0.197
   1044000                         0.197
   1045800                         0.197
   1047600                         0.197
   1049400                         0.197
   1051200                         0.197
   1053000                         0.197
   1054800                         0.197
   1056600                         0.197
   1058400                         0.197
   1060200                         0.197
   1062000                         0.197
   1063800                         0.197
   1065600                         0.197
   1067400                         0.197
   1069200                         0.197
   1071000                         0.197
   1072800                         0.197
   1074600                         0.197
   1076400                         0.197
   1078200                         0.197
   1080000                         0.197
   1081800                         0.197
   1083600                         0.197
   1085400                         0.197
   1087200                         0.197
   1089000                         0.197
   1090800                         0.197
   1092600                         0.197
   1094400                         0.197
   1096200                         0.197
   1098000                         0.197
   1099800                         0.197
   1101600                         0.197
   1103400                         0.197
   1105200                         0.197
   1107000                         0.197
   1108800                         0.197
   1110600                         0.197
   1112400                         0.197
   1114200                         0.197
   1116000                         0.197
   1117800                         0.197
   1119600                         0.197
   1121400                         0.197
   1123200                         0.197
   1125000                         0.116
   1126800                         0.116
   1128600                         0.116
   1130400                         0.116
   1132200                         0.116
   1134000                         0.116
   1135800                         0.116
   1137600                         0.116
   1139400                         0.116
   1141200                         0.116
   1143000                         0.116
   1144800                         0.116
   1146600                         0.116
   1148400                         0.116
   1150200                         0.116
   1152000                         0.116
   1153800                         0.116
   1155600                         0.116
   1157400                         0.116
   1159200                         0.116
   1161000                         0.116
   1162800                         0.116
   1164600                         0.116
   1166400                         0.116
   1168200                         0.116
   1170000                         0.116
   1171800                         0.116
   1173600                         0.116
   1175400                         0.116
   1177200                         0.116
   1179000                         0.116
   1180800                         0.116
   1182600                         0.116
   1184400                         0.116
   1186200                         0.116
   1188000                         0.116
   1189800                         0.116
   1191600                         0.116
   1193400                         0.116
   1195200                         0.116
   1197000                         0.116
   1198800                         0.116
   1200600                         0.116
   1202400                         0.116
   1204200                         0.116
   1206000                         0.116
   1207800                         0.116
   1209600                         0.116
   1211400                         0.102
   1213200                         0.102
   1215000                         0.102
   1216800                         0.102
   1218600                         0.102
   1220400                         0.102
   1222200                         0.102
   1224000                         0.102
   1225800                         0.102
   1227600                         0.102
   1229400                         0.102
   1231200                         0.102
   1233000                         0.102
   1234800                         0.102
   1236600                         0.102
   1238400                         0.102
   1240200                         0.102
   1242000                         0.102
   1243800                         0.102
   1245600                         0.102
   1247400                         0.102
   1249200                         0.102
   1251000                         0.102
   1252800                         0.102
   1254600                         0.102
   1256400                         0.102
   1258200                         0.102
   1260000                         0.102
   1261800                         0.102
   1263600                         0.102
   1265400                         0.102
   1267200                         0.102
   1269000                         0.102
   1270800                         0.102
   1272600                         0.102
   1274400                         0.102
   1276200                         0.102
   1278000                         0.102
   1279800                         0.102
   1281600                         0.102
   1283400                         0.102
   1285200                         0.102
   1287000                         0.102
   1288800                         0.102
   1290600                         0.102
   1292400                         0.102
   1294200                         0.102
   1296000                         0.102
